apiname_guess,key_lower,role,win_rate_role,pick_rate_role,ban_rate_role,role_rate,tier_role,rank_role,counters_ids,counters_wr
Camille,camille,TOP,0.48406999999999994,0.0216862,0.00867586,0.875011,5,43,17;82;223,0.4313;0.4382;0.4390
Aurora,aurora,TOP,0.483159,0.00783751,0.0347631,0.199374,5,54,157;13;27,0.4395;0.4424;0.4435
Varus,varus,TOP,0.480699,0.0077469,0.00923448,0.150722,5,55,39;48;2,0.4196;0.4270;0.4284
Gragas,gragas,TOP,0.4801909999999999,0.0184114,0.00717786,0.607774,5,46,27;83;36,0.4219;0.4263;0.4386
Rumble,rumble,TOP,0.479673,0.0153952,0.00547549,0.793557,5,52,223;14;74,0.4323;0.4330;0.4394
Jayce,jayce,TOP,0.478037,0.0285853,0.0262025,0.792122,5,42,39;133;83,0.4291;0.4299;0.4323
Volibear,volibear,TOP,0.477952,0.0276465,0.0881995,0.337632,5,39,10;133;17,0.4132;0.4216;0.4285
Smolder,smolder,MID,0.476074,0.0131592,0.0445029,0.115867,5,53,133;80;800,0.3833;0.3963;0.4160
Gragas,gragas,JUNGLE,0.475752,0.00629276,0.007113049999999999,0.207728,5,53,427;32;48,0.3300;0.4275;0.4371
Yuumi,yuumi,SUPPORT,0.473212,0.0436764,0.0512443,0.984345,5,42,44;32;89,0.4171;0.4203;0.4357
Pantheon,pantheon,JUNGLE,0.472772,0.023806399999999995,0.0393112,0.260066,5,46,36;23;32,0.4098;0.4301;0.4440
Taliyah,taliyah,MID,0.472434,0.016438,0.00304205,0.739617,5,54,85;45;55,0.4086;0.4237;0.4243
Smolder,smolder,TOP,0.471427,0.00859473,0.04430239999999999,0.0756771,5,57,39;157;54,0.3414;0.4117;0.4182
Corki,corki,ADC,0.470627,0.0171805,0.00360774,0.810092,5,27,45;96;115,0.4075;0.4173;0.4308
Yunara,yunara,ADC,0.4639,0.0531747,0.0625859,0.97994,5,25,45;895;96,0.3997;0.4240;0.4350
Kalista,kalista,ADC,0.46382200000000007,0.00984298,0.0029162500000000004,0.873466,5,28,96;895;22,0.4380;0.4385;0.4426
Varus,varus,ADC,0.463432,0.0383812,0.00930774,0.746737,5,26,96;800;115,0.4327;0.4410;0.4421
Rengar,rengar,JUNGLE,0.461721,0.0349415,0.0388128,0.902098,5,49,23;19;11,0.4098;0.4114;0.4153
Tristana,tristana,MID,0.461556,0.00564885,0.0307168,0.0818379,5,57,85;133;63,0.3750;0.3859;0.4000
K'Sante,ksante,TOP,0.457616,0.0389477,0.021712500000000003,0.933126,5,47,10;27;67,0.3780;0.4057;0.4061
Gwen,gwen,TOP,0.457377,0.0185191,0.022847400000000004,0.76766,5,56,27;86;74,0.3880;0.3997;0.4009
Qiyana,qiyana,JUNGLE,0.45071,0.0343007,0.0497404,0.595044,5,52,32;17;36,0.4074;0.4079;0.4086
Azir,azir,MID,0.4498710000000001,0.0186699,0.00493492,0.933161,5,56,161;45;63,0.3990;0.4067;0.4080
Skarner,skarner,JUNGLE,0.44544200000000006,0.00530941,0.00253574,0.802512,5,54,32;106;25,0.3930;0.3965;0.4055
